state,locale,vegetation,lat,lon,elev,pct-silt-5,pct-silt-10,pct-silt-20,pct-silt-50,pct-silt-100,pct-clay-5,pct-clay-10,pct-clay-20,pct-clay-50,pct-clay-100,pct-sand-5,pct-sand-10,pct-sand-20,pct-sand-50,pct-sand-100,pct-clay-all,pct-clay-all-unc,pct-silt-all,pct-silt-all-unc,pct-sand-all,pct-sand-all-unc,soil-class,swp-wiltp-5,swp-wiltp-5-unc,swp-wiltp-10,swp-wiltp-10-unc,swp-wiltp-20,swp-wiltp-20-unc,swp-wiltp-50,swp-wiltp-50-unc,swp-wiltp-100,swp-wiltp-100-unc,swp-fcap-5,swp-fcap-5-unc,swp-fcap-10,swp-fcap-10-unc,swp-fcap-20,swp-fcap-20-unc,swp-fcap-50,swp-fcap-50-unc,swp-fcap-100,swp-fcap-100-unc
CO,La Junta 17 WSW,prairie grass,37.86,-103.82,1337,46.7,50,44.1,44.9,57.7,20,21.3,21.3,19.3,26.3,33.3,28.7,34.6,35.8,16,21.6,2.7,48.7,5.5,29.7,8.1,L,7.9,0.3,8.7,0.8,8.6,0.6,7.0,1.9,10.8,0.9,17.2,0.9,18.0,1.3,17.7,1.6,14.8,3.6,24.6,1.8
CO,Montrose 11 ENE,Grass & shrub,38.54,-107.69,2561,54.5,55.4,53.5,48.5,52.9,19.1,19.4,22.1,28.1,21.6,26.4,25.2,24.4,23.4,25.5,22.1,3.6,53.0,2.7,25.0,1.1,SiL,8.1,0.3,7.9,0.2,8.1,0.3,10.4,0.6,9.2,3.0,19.6,1.4,20.3,0.9,21.8,0.5,26.5,1.1,24.0,6.0
FL,Everglades City 5 NE,grass/shrub,25.89,-81.31,1,7.8,8.6,,,,3.8,4,,,,88.4,87.4,,,,3.9,0.1,8.2,0.6,87.9,0.7,S,5.1,1.3,5.0,1.1,,,,,,,8.0,1.8,8.0,0.7,,,,,,
FL,Sebring 23 SSE,grass/shrub,27.15,-81.36,46,2,2.2,1.3,1.4,0.6,,,,,,,,,,,,,1.5,0.6,98.5,0.6,S,2.6,0.3,2.4,0.6,1.9,0.4,1.6,0.2,1.1,0.1,2.6,0.2,2.1,0.2,2.0,0.1,1.8,0.2,1.7,0.6
GA,Brunswick 23 S,grass,30.8,-81.45,8,1.6,2.6,2,2.5,1.7,1.2,0.7,1.4,1.2,1.5,97.2,96.7,96.6,96.3,96.8,1.2,0.3,2.1,0.5,96.7,0.3,S,2.1,0.5,2.2,0.5,1.7,0.2,1.3,0.3,1.0,0.3,3.9,0.8,4.0,0.6,3.7,0.1,3.5,0.2,2.7,0.9
GA,Newton 11 SW,grass/shrub,31.19,-84.44,48,8.7,10.4,9.6,9.6,9.1,2.7,3,2.7,23.2,42.1,88.6,86.6,87.7,67.2,48.8,14.7,17.7,9.5,0.6,75.8,17.5,SL,2.5,0.3,1.6,0.1,1.6,0.2,7.6,4.1,15.1,5.1,4.6,0.9,3.5,0.2,3.5,0.4,14.1,4.1,23.1,9.3
GA,Newton 8 W,grass/shrub,31.31,-84.47,54,8.9,9.2,8.8,8.3,7,7.4,7.3,8.5,22.1,22.2,83.7,83.5,82.7,69.6,70.8,13.5,7.9,8.4,0.9,78.1,7.2,SL,3.6,0.4,3.0,0.1,3.4,0.1,6.1,0.2,7.5,0.5,6.4,0.8,5.6,0.3,6.4,0.9,8.8,0.5,8.9,1.0
GA,Watkinsville 5 SSE,Grass,33.78,-83.38,226,9.2,9,11.2,15.9,11.6,5.8,3.7,4.6,20.2,33.2,85,87.3,84.2,63.9,55.2,13.5,12.9,11.4,2.8,75.1,14.6,SL,2.3,0.4,1.7,0.2,1.8,0.4,7.4,0.9,12.0,0.3,,,,,,,,,,
IA,Des Moines 17 E,dense grass,41.55,-93.28,281,65,65.2,63,60.9,64,31.4,31.3,34.3,37.7,35,3.6,3.5,2.7,1.4,1,33.9,2.7,63.6,1.8,2.4,1.2,SiCL,14.6,0.4,14.4,0.8,14.3,0.6,16.4,1.4,16.3,0.9,35.5,1.5,33.9,1.5,35.2,1.7,37.7,2.0,39.1,1.2
IL,Champaign 9 SW,dense grass,40.05,-88.37,213,58.7,57.9,58,54.5,56.7,30.4,31.3,32.1,35.2,35.4,10.9,10.8,9.9,10.3,7.9,32.9,2.3,57.2,1.7,10.0,1.2,SiCL,14.8,1.0,13.3,0.5,14.1,0.7,12.9,2.7,15.6,0.4,,,,,,,,,,
IL,Shabbona 5 NNE,Dense Grass,41.84,-88.85,262,51.9,50,51.9,59.2,64.6,30.4,29.8,29.4,31.4,30.9,17.7,20.2,18.7,9.4,4.5,30.4,0.8,55.5,6.2,14.1,6.8,SiCL,20.0,1.5,16.6,3.7,14.3,4.5,15.3,0.6,15.7,0.6,30.9,2.0,29.8,4.9,30.5,5.2,33.6,1.8,34.6,0.3
IN,Bedford 5 WNW,Dense Grass,38.88,-86.57,232,76.3,70.7,74.4,65.1,62.3,21.3,27.7,23.9,33.8,36.2,2.4,1.6,1.7,1.1,1.5,28.6,6.3,69.8,6.0,1.7,0.5,SiCL,11.8,0.5,12.1,2.6,8.8,0.3,14.0,2.3,14.3,0.7,33.7,1.6,33.1,2.7,31.4,0.8,35.7,0.4,33.7,0.5
